"FeatureName","DateCode","Value","Energy.Type"
"Midlothian",2015,2.914,"Manufactured Fuels"
"Midlothian",2015,629.01,"Petroleum Products"
"Midlothian",2015,633.387,"Gas"
"Renfrewshire",2015,36.17,"Bioenergy & Wastes"
"City of Edinburgh",2015,3028.826,"Petroleum Products"
"West Lothian",2015,9.031,"Manufactured Fuels"
"South Ayrshire",2015,504.878,"Electricity"
"South Ayrshire",2015,1304.847,"Gas"
"South Ayrshire",2015,1098.128,"Petroleum Products"
"Shetland Islands",2015,0,"Gas"
"Glasgow City",2015,5204.432,"Gas"
"Midlothian",2015,358.683,"Electricity"
"Shetland Islands",2015,9.892,"Coal"
"Fife",2015,297.7,"Bioenergy & Wastes"
"Fife",2015,13.617,"Coal"
"South Ayrshire",2015,6.138,"Coal"
"Renfrewshire",2015,1324.787,"Petroleum Products"
"Moray",2015,1850.643,"Gas"
"Glasgow City",2015,3410.752,"Petroleum Products"
"City of Edinburgh",2015,4578.979,"Gas"
"Perth and Kinross",2015,2563.393,"Petroleum Products"
"City of Edinburgh",2015,27.535,"Coal"
"Inverclyde",2015,345.489,"Electricity"
"South Lanarkshire",2015,1267.468,"Electricity"
"East Lothian",2015,433.052,"Coal"
"Perth and Kinross",2015,1005.615,"Gas"
"Orkney Islands",2015,10.818,"Bioenergy & Wastes"
"South Lanarkshire",2015,22.346,"Coal"
"Renfrewshire",2015,1.535,"Manufactured Fuels"
"Inverclyde",2015,0.546,"Coal"
"East Ayrshire",2015,460.266,"Electricity"
"Orkney Islands",2015,339.965,"Petroleum Products"
"East Renfrewshire",2015,1.905,"Manufactured Fuels"
"Midlothian",2015,34.004,"Bioenergy & Wastes"
"Moray",2015,12.6,"Coal"
"East Renfrewshire",2015,247.207,"Electricity"
"Moray",2015,77.107,"Bioenergy & Wastes"
"Angus",2015,14.897,"Coal"
"North Lanarkshire",2015,2993.219,"Gas"
"South Ayrshire",2015,6.506,"Manufactured Fuels"
"East Renfrewshire",2015,22.264,"Bioenergy & Wastes"
"Perth and Kinross",2015,7.722,"Manufactured Fuels"
"Scottish Borders",2015,588.666,"Electricity"
"City of Edinburgh",2015,2432.206,"Electricity"
"South Ayrshire",2015,33.021,"Bioenergy & Wastes"
"Aberdeen City",2015,1234.071,"Electricity"
"Orkney Islands",2015,6.224,"Coal"
"Moray",2015,922.924,"Petroleum Products"
"North Ayrshire",2015,2.978,"Coal"
"North Lanarkshire",2015,3029.295,"Petroleum Products"
"East Renfrewshire",2015,625.171,"Petroleum Products"
"Highland",2015,3445.401,"Petroleum Products"
"Orkney Islands",2015,0,"Gas"
"Clackmannanshire",2015,1041.855,"Gas"
"North Lanarkshire",2015,96.828,"Bioenergy & Wastes"
"Shetland Islands",2015,202.108,"Electricity"
"Aberdeen City",2015,33.629,"Coal"
"Clackmannanshire",2015,291.575,"Petroleum Products"
"East Ayrshire",2015,80.287,"Coal"
"Fife",2015,1630.403,"Electricity"
"Inverclyde",2015,464.331,"Petroleum Products"
"Moray",2015,515.803,"Electricity"
"Inverclyde",2015,16.277,"Bioenergy & Wastes"
"Stirling",2015,1172.896,"Petroleum Products"
"Shetland Islands",2015,15.062,"Bioenergy & Wastes"
"East Ayrshire",2015,320.76,"Bioenergy & Wastes"
"Fife",2015,6774.937,"Petroleum Products"
"Angus",2015,5.021,"Manufactured Fuels"
"Moray",2015,5.702,"Manufactured Fuels"
"East Lothian",2015,727.394,"Gas"
"Inverclyde",2015,1.556,"Manufactured Fuels"
"Highland",2015,1587.519,"Electricity"
"Stirling",2015,1219.714,"Gas"
"Highland",2015,1065.33,"Bioenergy & Wastes"
"East Dunbartonshire",2015,17.538,"Bioenergy & Wastes"
"Highland",2015,1232.198,"Gas"
"Scottish Borders",2015,6.844,"Manufactured Fuels"
"Clackmannanshire",2015,1.164,"Coal"
"Shetland Islands",2015,355.074,"Petroleum Products"
"Stirling",2015,474.865,"Electricity"
"Inverclyde",2015,646.714,"Gas"
"Clackmannanshire",2015,11.666,"Bioenergy & Wastes"
"East Lothian",2015,182.76,"Bioenergy & Wastes"
"West Lothian",2015,1616.296,"Petroleum Products"
"Glasgow City",2015,89.177,"Bioenergy & Wastes"
"Stirling",2015,4.984,"Manufactured Fuels"
"City of Edinburgh",2015,3.865,"Manufactured Fuels"
"East Lothian",2015,468.363,"Electricity"
"Fife",2015,3379.04,"Gas"
"West Lothian",2015,49.732,"Bioenergy & Wastes"
"Angus",2015,46.319,"Bioenergy & Wastes"
"Na h-Eileanan Siar",2015,388.755,"Petroleum Products"
"Clackmannanshire",2015,3.818,"Manufactured Fuels"
"Glasgow City",2015,1.146,"Coal"
"Stirling",2015,5.762,"Coal"
"Fife",2015,36.145,"Manufactured Fuels"
"East Ayrshire",2015,1031.401,"Gas"
"Highland",2015,80.961,"Coal"
"Highland",2015,18.215,"Manufactured Fuels"
"West Lothian",2015,2.147,"Coal"
"East Lothian",2015,884.736,"Petroleum Products"
"Dundee City",2015,22.251,"Bioenergy & Wastes"
"Scottish Borders",2015,1572.882,"Petroleum Products"
"Angus",2015,1252.289,"Petroleum Products"
"Na h-Eileanan Siar",2015,2.827,"Manufactured Fuels"
"Renfrewshire",2015,801.981,"Electricity"
"Dumfries and Galloway",2015,1124.248,"Gas"
"East Ayrshire",2015,5.658,"Manufactured Fuels"
"North Ayrshire",2015,714.01,"Electricity"
"Falkirk",2015,1348.307,"Gas"
"West Dunbartonshire",2015,742.978,"Gas"
"Aberdeen City",2015,2377.717,"Gas"
"Aberdeenshire",2015,116.104,"Bioenergy & Wastes"
"Falkirk",2015,2.68,"Coal"
"West Dunbartonshire",2015,578.406,"Petroleum Products"
"Aberdeenshire",2015,27.487,"Manufactured Fuels"
"Falkirk",2015,13761.496,"Petroleum Products"
"East Dunbartonshire",2015,1.942,"Manufactured Fuels"
"Na h-Eileanan Siar",2015,0,"Gas"
"Aberdeenshire",2015,1379.189,"Gas"
"Scottish Borders",2015,89.809,"Coal"
"East Dunbartonshire",2015,889.085,"Gas"
"Renfrewshire",2015,0.879,"Coal"
"Dumfries and Galloway",2015,71.472,"Coal"
"West Dunbartonshire",2015,0.195,"Coal"
"Dundee City",2015,1409.321,"Gas"
"Na h-Eileanan Siar",2015,22.614,"Bioenergy & Wastes"
"North Ayrshire",2015,1535.145,"Bioenergy & Wastes"
"Falkirk",2015,730.313,"Electricity"
"Dundee City",2015,0.681,"Manufactured Fuels"
"North Lanarkshire",2015,4.132,"Coal"
"North Lanarkshire",2015,38.716,"Manufactured Fuels"
"West Dunbartonshire",2015,357.345,"Electricity"
"North Ayrshire",2015,3.592,"Manufactured Fuels"
"Argyll and Bute",2015,1145.193,"Petroleum Products"
"Argyll and Bute",2015,451.315,"Gas"
"Dundee City",2015,814.083,"Petroleum Products"
"Glasgow City",2015,3.961,"Manufactured Fuels"
"East Lothian",2015,6.205,"Manufactured Fuels"
"East Ayrshire",2015,1077.642,"Petroleum Products"
"Argyll and Bute",2015,514.659,"Electricity"
"Argyll and Bute",2015,6.448,"Manufactured Fuels"
"Na h-Eileanan Siar",2015,16.091,"Coal"
"West Dunbartonshire",2015,0.648,"Manufactured Fuels"
"Aberdeen City",2015,16.644,"Manufactured Fuels"
"Aberdeenshire",2015,1271.087,"Electricity"
"Orkney Islands",2015,141.741,"Electricity"
"West Dunbartonshire",2015,15.828,"Bioenergy & Wastes"
"Dumfries and Galloway",2015,30.184,"Manufactured Fuels"
"East Dunbartonshire",2015,360.717,"Electricity"
"Angus",2015,922.761,"Gas"
"South Lanarkshire",2015,15.4,"Manufactured Fuels"
"Perth and Kinross",2015,12.977,"Coal"
"South Lanarkshire",2015,2444.086,"Gas"
"Midlothian",2015,15.593,"Coal"
"West Lothian",2015,1681.385,"Gas"
"South Lanarkshire",2015,97.37,"Bioenergy & Wastes"
"Perth and Kinross",2015,747.98,"Electricity"
"Perth and Kinross",2015,76.933,"Bioenergy & Wastes"
"South Lanarkshire",2015,2922.693,"Petroleum Products"
"Shetland Islands",2015,2.434,"Manufactured Fuels"
"Glasgow City",2015,3008.719,"Electricity"
"West Lothian",2015,869.887,"Electricity"
"Stirling",2015,622.848,"Bioenergy & Wastes"
"Angus",2015,541.506,"Electricity"
"East Renfrewshire",2015,0.866,"Coal"
"Aberdeenshire",2015,50.79,"Coal"
"Clackmannanshire",2015,311.865,"Electricity"
"Aberdeenshire",2015,3549.305,"Petroleum Products"
"Falkirk",2015,669.339,"Manufactured Fuels"
"Falkirk",2015,43.303,"Bioenergy & Wastes"
"Dundee City",2015,713.933,"Electricity"
"Dundee City",2015,0.18,"Coal"
"Orkney Islands",2015,2.246,"Manufactured Fuels"
"Aberdeen City",2015,1430.167,"Petroleum Products"
"Na h-Eileanan Siar",2015,154.676,"Electricity"
"Dumfries and Galloway",2015,904.78,"Electricity"
"East Dunbartonshire",2015,507.361,"Petroleum Products"
"North Lanarkshire",2015,1400.028,"Electricity"
"Argyll and Bute",2015,58.9,"Bioenergy & Wastes"
"Scottish Borders",2015,754.469,"Gas"
"Argyll and Bute",2015,36.535,"Coal"
"Dumfries and Galloway",2015,2916.638,"Petroleum Products"
"City of Edinburgh",2015,104.493,"Bioenergy & Wastes"
"East Renfrewshire",2015,737.86,"Gas"
"Renfrewshire",2015,1549.877,"Gas"
"North Ayrshire",2015,802.727,"Petroleum Products"
"Aberdeen City",2015,77.415,"Bioenergy & Wastes"
"Dumfries and Galloway",2015,114.23,"Bioenergy & Wastes"
"Scottish Borders",2015,116.022,"Bioenergy & Wastes"
"East Dunbartonshire",2015,1.391,"Coal"
"North Ayrshire",2015,2193.134,"Gas"
"Falkirk",2016,707.139,"Electricity"
"North Ayrshire",2016,2247.564,"Gas"
"West Dunbartonshire",2016,714.864,"Gas"
"Dundee City",2016,0.193,"Coal"
"North Lanarkshire",2016,1337.146,"Electricity"
"Aberdeenshire",2016,1398.072,"Gas"
"Glasgow City",2016,3428.281,"Petroleum Products"
"Midlothian",2016,36.248,"Bioenergy & Wastes"
"Shetland Islands",2016,8.664,"Coal"
"Perth and Kinross",2016,20.463,"Coal"
"South Lanarkshire",2016,10.31,"Manufactured Fuels"
"Scottish Borders",2016,1565.669,"Petroleum Products"
"Aberdeen City",2016,2323.112,"Gas"
"Scottish Borders",2016,6.546,"Manufactured Fuels"
"Aberdeenshire",2016,3711.475,"Petroleum Products"
"East Dunbartonshire",2016,1.849,"Manufactured Fuels"
"North Lanarkshire",2016,18.962,"Manufactured Fuels"
"Aberdeenshire",2016,46.489,"Coal"
"East Dunbartonshire",2016,509.247,"Petroleum Products"
"Dumfries and Galloway",2016,869.409,"Electricity"
"South Ayrshire",2016,4.817,"Manufactured Fuels"
"South Ayrshire",2016,5.412,"Coal"
"West Lothian",2016,52.051,"Bioenergy & Wastes"
"Perth and Kinross",2016,1003.398,"Gas"
"South Ayrshire",2016,34.779,"Bioenergy & Wastes"
"South Lanarkshire",2016,2418.812,"Gas"
"South Ayrshire",2016,1117.864,"Petroleum Products"
"South Ayrshire",2016,1279.523,"Gas"
"Moray",2016,930.75,"Petroleum Products"
"Midlothian",2016,2.836,"Manufactured Fuels"
"Moray",2016,103.269,"Bioenergy & Wastes"
"Moray",2016,5.571,"Manufactured Fuels"
"Perth and Kinross",2016,7.547,"Manufactured Fuels"
"South Lanarkshire",2016,101.351,"Bioenergy & Wastes"
"Perth and Kinross",2016,80.422,"Bioenergy & Wastes"
"Shetland Islands",2016,0,"Gas"
"West Lothian",2016,6.05,"Manufactured Fuels"
"Midlothian",2016,670.252,"Petroleum Products"
"Scottish Borders",2016,118.048,"Bioenergy & Wastes"
"Midlothian",2016,13.121,"Coal"
"Perth and Kinross",2016,727.801,"Electricity"
"Inverclyde",2016,0.576,"Coal"
"Shetland Islands",2016,363.169,"Petroleum Products"
"Highland",2016,78.809,"Coal"
"Highland",2016,17.382,"Manufactured Fuels"
"Highland",2016,1556.094,"Electricity"
"East Dunbartonshire",2016,897.577,"Gas"
"East Dunbartonshire",2016,346.304,"Electricity"
"Clackmannanshire",2016,295.329,"Petroleum Products"
"North Ayrshire",2016,4.175,"Coal"
"Clackmannanshire",2016,2.315,"Manufactured Fuels"
"Highland",2016,1161.374,"Gas"
"Aberdeen City",2016,27.526,"Coal"
"Falkirk",2016,682.893,"Manufactured Fuels"
"Dumfries and Galloway",2016,119.651,"Bioenergy & Wastes"
"Falkirk",2016,14752.047,"Petroleum Products"
"Falkirk",2016,45.189,"Bioenergy & Wastes"
"Orkney Islands",2016,0,"Gas"
"North Ayrshire",2016,1575.645,"Bioenergy & Wastes"
"Aberdeen City",2016,72.182,"Bioenergy & Wastes"
"East Dunbartonshire",2016,18.274,"Bioenergy & Wastes"
"East Dunbartonshire",2016,3.225,"Coal"
"Aberdeen City",2016,9.096,"Manufactured Fuels"
"Dumfries and Galloway",2016,3004.757,"Petroleum Products"
"North Ayrshire",2016,798.549,"Petroleum Products"
"Glasgow City",2016,1.137,"Coal"
"Glasgow City",2016,2.757,"Manufactured Fuels"
"Aberdeen City",2016,1436.544,"Petroleum Products"
"Clackmannanshire",2016,311.504,"Electricity"
"North Ayrshire",2016,3.124,"Manufactured Fuels"
"North Lanarkshire",2016,4.047,"Coal"
"Dumfries and Galloway",2016,48.463,"Coal"
"Dumfries and Galloway",2016,1192.655,"Gas"
"Na h-Eileanan Siar",2016,2.768,"Manufactured Fuels"
"Dundee City",2016,0.658,"Manufactured Fuels"
"West Dunbartonshire",2016,0.481,"Manufactured Fuels"
"West Dunbartonshire",2016,573.914,"Petroleum Products"
"Dundee City",2016,1409.992,"Gas"
"Na h-Eileanan Siar",2016,23.649,"Bioenergy & Wastes"
"Aberdeenshire",2016,125.387,"Bioenergy & Wastes"
"Falkirk",2016,1360.256,"Gas"
"Na h-Eileanan Siar",2016,14.542,"Coal"
"West Dunbartonshire",2016,15.909,"Bioenergy & Wastes"
"Aberdeenshire",2016,1228.86,"Electricity"
"Aberdeenshire",2016,21.267,"Manufactured Fuels"
"Highland",2016,1096.467,"Bioenergy & Wastes"
"North Ayrshire",2016,660.905,"Electricity"
"West Lothian",2016,3.653,"Coal"
"Aberdeen City",2016,1151.352,"Electricity"
"Dundee City",2016,676.996,"Electricity"
"Scottish Borders",2016,797.132,"Gas"
"Scottish Borders",2016,75.754,"Coal"
"Falkirk",2016,2.718,"Coal"
"Orkney Islands",2016,2.198,"Manufactured Fuels"
"Dundee City",2016,811.047,"Petroleum Products"
"West Dunbartonshire",2016,0.194,"Coal"
"West Dunbartonshire",2016,339.762,"Electricity"
"East Renfrewshire",2016,635.379,"Petroleum Products"
"East Renfrewshire",2016,746.451,"Gas"
"Angus",2016,4.898,"Manufactured Fuels"
"City of Edinburgh",2016,4550.348,"Gas"
"Argyll and Bute",2016,452.073,"Gas"
"City of Edinburgh",2016,106.753,"Bioenergy & Wastes"
"Angus",2016,514.192,"Electricity"
"North Lanarkshire",2016,3033.893,"Petroleum Products"
"East Ayrshire",2016,433.17,"Electricity"
"Renfrewshire",2016,1570.527,"Gas"
"East Ayrshire",2016,66.211,"Coal"
"Orkney Islands",2016,134.114,"Electricity"
"Na h-Eileanan Siar",2016,15.146,"Gas"
"Renfrewshire",2016,770.291,"Electricity"
"Orkney Islands",2016,7.194,"Coal"
"East Lothian",2016,903.805,"Petroleum Products"
"East Ayrshire",2016,5.523,"Manufactured Fuels"
"City of Edinburgh",2016,3.696,"Manufactured Fuels"
"Angus",2016,893.631,"Gas"
"Argyll and Bute",2016,1157.117,"Petroleum Products"
"Orkney Islands",2016,350.331,"Petroleum Products"
"Angus",2016,1263.35,"Petroleum Products"
"Orkney Islands",2016,11.616,"Bioenergy & Wastes"
"Argyll and Bute",2016,499.148,"Electricity"
"City of Edinburgh",2016,3064.674,"Petroleum Products"
"City of Edinburgh",2016,2323.985,"Electricity"
"East Lothian",2016,4.864,"Manufactured Fuels"
"Na h-Eileanan Siar",2016,394.901,"Petroleum Products"
"Dumfries and Galloway",2016,17.984,"Manufactured Fuels"
"East Lothian",2016,83.422,"Bioenergy & Wastes"
"East Renfrewshire",2016,23.307,"Bioenergy & Wastes"
"Angus",2016,13.354,"Coal"
"East Lothian",2016,740.855,"Gas"
"Renfrewshire",2016,36.43,"Bioenergy & Wastes"
"Renfrewshire",2016,1.491,"Manufactured Fuels"
"East Renfrewshire",2016,1.847,"Manufactured Fuels"
"East Renfrewshire",2016,236.822,"Electricity"
"Dundee City",2016,22.465,"Bioenergy & Wastes"
"City of Edinburgh",2016,23.056,"Coal"
"Na h-Eileanan Siar",2016,150.033,"Electricity"
"Renfrewshire",2016,0.869,"Coal"
"East Lothian",2016,576.633,"Coal"
"Argyll and Bute",2016,6.084,"Manufactured Fuels"
"Argyll and Bute",2016,61.398,"Bioenergy & Wastes"
"Argyll and Bute",2016,37.304,"Coal"
"East Ayrshire",2016,1082.455,"Petroleum Products"
"East Lothian",2016,462.046,"Electricity"
"East Ayrshire",2016,1036.84,"Gas"
"Renfrewshire",2016,1312.048,"Petroleum Products"
"East Ayrshire",2016,195.832,"Bioenergy & Wastes"
"Glasgow City",2016,2792.481,"Electricity"
"Clackmannanshire",2016,1.156,"Coal"
"Shetland Islands",2016,2.233,"Manufactured Fuels"
"Fife",2016,1571.237,"Electricity"
"Fife",2016,278.162,"Bioenergy & Wastes"
"Stirling",2016,1255.196,"Gas"
"Fife",2016,14.282,"Coal"
"Stirling",2016,1194.616,"Petroleum Products"
"Inverclyde",2016,456.023,"Petroleum Products"
"Fife",2016,3378.961,"Gas"
"Highland",2016,3485.85,"Petroleum Products"
"Clackmannanshire",2016,1099.814,"Gas"
"West Lothian",2016,1638.839,"Petroleum Products"
"Stirling",2016,6.154,"Coal"
"Fife",2016,21.292,"Manufactured Fuels"
"North Lanarkshire",2016,2836.808,"Gas"
"North Lanarkshire",2016,100.148,"Bioenergy & Wastes"
"South Ayrshire",2016,477.877,"Electricity"
"West Lothian",2016,830.122,"Electricity"
"Scottish Borders",2016,564.801,"Electricity"
"Moray",2016,23.234,"Coal"
"Inverclyde",2016,317.231,"Electricity"
"Inverclyde",2016,16.58,"Bioenergy & Wastes"
"Inverclyde",2016,633.248,"Gas"
"Stirling",2016,474.032,"Electricity"
"Shetland Islands",2016,189.686,"Electricity"
"Glasgow City",2016,91.107,"Bioenergy & Wastes"
"Midlothian",2016,348.024,"Electricity"
"Perth and Kinross",2016,2595.403,"Petroleum Products"
"Midlothian",2016,662.592,"Gas"
"Stirling",2016,4.343,"Manufactured Fuels"
"West Lothian",2016,1721.437,"Gas"
"Clackmannanshire",2016,12.371,"Bioenergy & Wastes"
"Stirling",2016,639.576,"Bioenergy & Wastes"
"Angus",2016,48.383,"Bioenergy & Wastes"
"East Renfrewshire",2016,0.859,"Coal"
"Fife",2016,7129.495,"Petroleum Products"
"South Lanarkshire",2016,2964.027,"Petroleum Products"
"Inverclyde",2016,1.318,"Manufactured Fuels"
"South Lanarkshire",2016,1166.523,"Electricity"
"South Lanarkshire",2016,19.029,"Coal"
"Glasgow City",2016,5035.525,"Gas"
"Shetland Islands",2016,15.89,"Bioenergy & Wastes"
"Moray",2016,1848.991,"Gas"
