"FeatureCode","City","FeatureType","Year","Measurement","Units","Age","Value"
"S12000033","Aberdeen City","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-23.125
"S12000034","Aberdeenshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-9.5
"S12000041","Angus","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",4.15
"S12000035","Argyll and Bute","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",0.325
"S12000036","City of Edinburgh","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-13.875
"S12000005","Clackmannanshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",9.7
"S12000006","Dumfries and Galloway","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-0.35
"S12000042","Dundee City","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",5.5
"S12000008","East Ayrshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-15.975
"S12000045","East Dunbartonshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-5.4
"S12000010","East Lothian","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",2.65
"S12000011","East Renfrewshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",11.775
"S12000014","Falkirk","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",5.775
"S12000047","Fife","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",2.25
"S12000049","Glasgow City","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-3.675
"S12000017","Highland","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",5.275
"S12000018","Inverclyde","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-2.6
"S12000019","Midlothian","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-5.825
"S12000020","Moray","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-7.4
"S12000021","North Ayrshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-6.025
"S12000050","North Lanarkshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-7.9
"S12000023","Orkney Islands","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",3.1
"S12000048","Perth and Kinross","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-11.925
"S12000038","Renfrewshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-2.575
"S12000026","Scottish Borders","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",3.75
"S12000027","Shetland Islands","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",13.4
"S12000028","South Ayrshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",7.275
"S12000029","South Lanarkshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-3.775
"S12000030","Stirling","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-3.35
"S12000039","West Dunbartonshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-0.5
"S12000040","West Lothian","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",1.575
"S12000033","Aberdeen City","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-12.45
"S12000034","Aberdeenshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",4.275
"S12000041","Angus","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-15.425
"S12000035","Argyll and Bute","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",6.375
"S12000036","City of Edinburgh","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-3.13333333333333
"S12000006","Dumfries and Galloway","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",6.075
"S12000042","Dundee City","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-12.175
"S12000008","East Ayrshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",1.775
"S12000045","East Dunbartonshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-3.525
"S12000010","East Lothian","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",14.95
"S12000011","East Renfrewshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-8.675
"S12000014","Falkirk","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",6.975
"S12000047","Fife","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-7.3
"S12000049","Glasgow City","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",8.2
"S12000017","Highland","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-16.125
"S12000018","Inverclyde","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",10.325
"S12000019","Midlothian","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-3.06666666666667
"S12000020","Moray","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-4.45
"S12000021","North Ayrshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",9
"S12000050","North Lanarkshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-13.175
"S12000023","Orkney Islands","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-2.4
"S12000048","Perth and Kinross","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-13
"S12000038","Renfrewshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-8.6
"S12000026","Scottish Borders","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",5.425
"S12000027","Shetland Islands","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-13.9
"S12000028","South Ayrshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-8.7
"S12000029","South Lanarkshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-4.35
"S12000030","Stirling","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-5.025
"S12000039","West Dunbartonshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-1.65
"S12000040","West Lothian","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",7.6
"S12000033","Aberdeen City","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",7.8
"S12000034","Aberdeenshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",3.75
"S12000041","Angus","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-8.125
"S12000035","Argyll and Bute","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-4.625
"S12000036","City of Edinburgh","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-11.55
"S12000005","Clackmannanshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-10.1666666666667
"S12000006","Dumfries and Galloway","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",10.475
"S12000042","Dundee City","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-20.925
"S12000008","East Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-1.2
"S12000045","East Dunbartonshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",0.7
"S12000010","East Lothian","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",2.025
"S12000011","East Renfrewshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-7.225
"S12000014","Falkirk","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",7.15
"S12000047","Fife","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",5.525
"S12000049","Glasgow City","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",5.525
"S12000017","Highland","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-14.7
"S12000018","Inverclyde","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",1.825
"S12000019","Midlothian","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",7.925
"S12000020","Moray","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",1.35
"S12000013","Na h-Eileanan Siar","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-6.3
"S12000021","North Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",8.525
"S12000050","North Lanarkshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-7.325
"S12000048","Perth and Kinross","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",5.3
"S12000038","Renfrewshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-9.025
"S12000026","Scottish Borders","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",1.025
"S12000028","South Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-3.2
"S12000029","South Lanarkshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",5.6
"S12000030","Stirling","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",5.025
"S12000039","West Dunbartonshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-2.225
"S12000040","West Lothian","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-0.825
"S12000033","Aberdeen City","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",19.675
"S12000034","Aberdeenshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",19.2333333333333
"S12000041","Angus","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-1.025
"S12000035","Argyll and Bute","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-4.15
"S12000036","City of Edinburgh","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",6.925
"S12000005","Clackmannanshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",5
"S12000006","Dumfries and Galloway","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",10.075
"S12000042","Dundee City","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-5.275
"S12000008","East Ayrshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",5.75
"S12000045","East Dunbartonshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-2.175
"S12000010","East Lothian","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",0.35
"S12000011","East Renfrewshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-4.9
"S12000014","Falkirk","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-0.0249999999999999
"S12000047","Fife","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",7.875
"S12000049","Glasgow City","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",12.875
"S12000017","Highland","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-2.175
"S12000018","Inverclyde","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",9.5
"S12000019","Midlothian","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",2.05
"S12000020","Moray","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",14.775
"S12000013","Na h-Eileanan Siar","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-10.075
"S12000021","North Ayrshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",16.025
"S12000050","North Lanarkshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-2.1
"S12000048","Perth and Kinross","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",4.8
"S12000038","Renfrewshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",11.75
"S12000026","Scottish Borders","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",3.8
"S12000028","South Ayrshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-2.2
"S12000029","South Lanarkshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-6.325
"S12000030","Stirling","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-1.5
"S12000039","West Dunbartonshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-8.75
"S12000040","West Lothian","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",2.625
"S12000033","Aberdeen City","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",13.45
"S12000034","Aberdeenshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-13.075
"S12000041","Angus","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",5.55
"S12000035","Argyll and Bute","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",10.55
"S12000036","City of Edinburgh","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",13.5
"S12000005","Clackmannanshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-10.45
"S12000006","Dumfries and Galloway","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-0.575
"S12000042","Dundee City","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-12.425
"S12000008","East Ayrshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-8.525
"S12000045","East Dunbartonshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-5.525
"S12000010","East Lothian","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",0.925
"S12000011","East Renfrewshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-0.6
"S12000014","Falkirk","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",4.075
"S12000047","Fife","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",10.925
"S12000049","Glasgow City","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-2.625
"S12000017","Highland","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",18.1
"S12000018","Inverclyde","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",5.825
"S12000019","Midlothian","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-4.7
"S12000020","Moray","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-3.075
"S12000013","Na h-Eileanan Siar","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-2.1
"S12000021","North Ayrshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",7.23333333333333
"S12000050","North Lanarkshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-13.725
"S12000023","Orkney Islands","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",0
"S12000048","Perth and Kinross","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",2.875
"S12000038","Renfrewshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-0.35
"S12000026","Scottish Borders","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-6.7
"S12000028","South Ayrshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-2.5
"S12000029","South Lanarkshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-7.625
"S12000030","Stirling","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",4.875
"S12000039","West Dunbartonshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-11.3
"S12000040","West Lothian","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-4.975
"S12000033","Aberdeen City","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",3.1
"S12000034","Aberdeenshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",-23.1
"S12000041","Angus","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",11.5
"S12000035","Argyll and Bute","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",15.4
"S12000036","City of Edinburgh","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",4.1
"S12000005","Clackmannanshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",-25.3
"S12000006","Dumfries and Galloway","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",21
"S12000042","Dundee City","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",-16.4
"S12000008","East Ayrshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",9.7
"S12000045","East Dunbartonshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",-18.4
"S12000010","East Lothian","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",14.2
"S12000011","East Renfrewshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",5.5
"S12000014","Falkirk","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",13.6
"S12000047","Fife","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",2.9
"S12000049","Glasgow City","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",-3.8
"S12000017","Highland","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",1
"S12000018","Inverclyde","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",2.3
"S12000019","Midlothian","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",-20.7
"S12000020","Moray","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",-3
"S12000013","Na h-Eileanan Siar","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",-14
"S12000021","North Ayrshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",16.9
"S12000050","North Lanarkshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",0.5
"S12000048","Perth and Kinross","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",-4.7
"S12000038","Renfrewshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",-10.6
"S12000026","Scottish Borders","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",-14.5
"S12000028","South Ayrshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",16.4
"S12000029","South Lanarkshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",2
"S12000030","Stirling","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",11.1
"S12000039","West Dunbartonshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",-9.9
"S12000040","West Lothian","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",1.1
"S12000033","Aberdeen City","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",0.475
"S12000034","Aberdeenshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",13.2
"S12000041","Angus","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",8.875
"S12000035","Argyll and Bute","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",4.7
"S12000036","City of Edinburgh","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",3.15
"S12000005","Clackmannanshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",14.025
"S12000006","Dumfries and Galloway","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",7
"S12000042","Dundee City","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",7.95
"S12000008","East Ayrshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",3.375
"S12000045","East Dunbartonshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",6.3
"S12000010","East Lothian","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",7.525
"S12000011","East Renfrewshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",9.325
"S12000014","Falkirk","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",8.15
"S12000047","Fife","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",7.275
"S12000049","Glasgow City","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",5.725
"S12000017","Highland","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",11.15
"S12000018","Inverclyde","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",2.525
"S12000019","Midlothian","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",0.975
"S12000020","Moray","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",11.025
"S12000013","Na h-Eileanan Siar","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",-0.6
"S12000021","North Ayrshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",9.525
"S12000050","North Lanarkshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",4.25
"S12000023","Orkney Islands","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",7.3
"S12000048","Perth and Kinross","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",3.5
"S12000038","Renfrewshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",0.85
"S12000026","Scottish Borders","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",6.55
"S12000027","Shetland Islands","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",12.375
"S12000028","South Ayrshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",7.675
"S12000029","South Lanarkshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",9.15
"S12000030","Stirling","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",8.025
"S12000039","West Dunbartonshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",3.175
"S12000040","West Lothian","Council Area","2015","Percentage Points","Percentage Points Difference","16-64 years",7.775
"S12000033","Aberdeen City","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",3.175
"S12000034","Aberdeenshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",13.8
"S12000041","Angus","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",6.975
"S12000035","Argyll and Bute","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",6.875
"S12000036","City of Edinburgh","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",8.425
"S12000005","Clackmannanshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",11.775
"S12000006","Dumfries and Galloway","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",11.45
"S12000042","Dundee City","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",-1.575
"S12000008","East Ayrshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",9.4
"S12000045","East Dunbartonshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",6.425
"S12000010","East Lothian","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",9.025
"S12000011","East Renfrewshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",5.375
"S12000014","Falkirk","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",10.05
"S12000047","Fife","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",8.55
"S12000049","Glasgow City","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",8.125
"S12000017","Highland","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",2.825
"S12000018","Inverclyde","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",-0.275
"S12000019","Midlothian","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",6.825
"S12000020","Moray","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",10.2
"S12000013","Na h-Eileanan Siar","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",5.3
"S12000021","North Ayrshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",13.525
"S12000050","North Lanarkshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",5.525
"S12000023","Orkney Islands","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",-7.325
"S12000048","Perth and Kinross","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",3.125
"S12000038","Renfrewshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",1.925
"S12000026","Scottish Borders","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",10.55
"S12000027","Shetland Islands","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",0.15
"S12000028","South Ayrshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",5.3
"S12000029","South Lanarkshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",6.175
"S12000030","Stirling","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",3.825
"S12000039","West Dunbartonshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",5.625
"S12000040","West Lothian","Council Area","2016","Percentage Points","Percentage Points Difference","16-64 years",9.775
"S12000033","Aberdeen City","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",6.375
"S12000034","Aberdeenshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",10.9
"S12000041","Angus","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",6.725
"S12000035","Argyll and Bute","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",8.4
"S12000036","City of Edinburgh","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",4.325
