"FeatureCode","City","FeatureType","Year","Measurement","Units","Age","Value"
"S12000005","Clackmannanshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",5.1
"S12000006","Dumfries and Galloway","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",13.05
"S12000042","Dundee City","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",-4.95
"S12000008","East Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",9.05
"S12000045","East Dunbartonshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",7
"S12000010","East Lothian","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",5.5
"S12000011","East Renfrewshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",10.7
"S12000014","Falkirk","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",11.325
"S12000047","Fife","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",11.9
"S12000049","Glasgow City","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",7.625
"S12000017","Highland","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",2.375
"S12000018","Inverclyde","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",2.05
"S12000019","Midlothian","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",6.775
"S12000020","Moray","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",8.1
"S12000013","Na h-Eileanan Siar","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",5.925
"S12000021","North Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",9.7
"S12000050","North Lanarkshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",6.275
"S12000023","Orkney Islands","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",-0.0249999999999999
"S12000048","Perth and Kinross","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",5.125
"S12000038","Renfrewshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",0.9
"S12000026","Scottish Borders","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",8.625
"S12000027","Shetland Islands","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",-3.575
"S12000028","South Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",6.95
"S12000029","South Lanarkshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",8.025
"S12000030","Stirling","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",6.1
"S12000039","West Dunbartonshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",3.55
"S12000040","West Lothian","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",8.025
"S12000033","Aberdeen City","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",7.25
"S12000034","Aberdeenshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",10.875
"S12000041","Angus","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",4.45
"S12000035","Argyll and Bute","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",6.475
"S12000036","City of Edinburgh","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",10.2
"S12000005","Clackmannanshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",11.175
"S12000006","Dumfries and Galloway","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",10.8
"S12000042","Dundee City","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",3.15
"S12000008","East Ayrshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",8.6
"S12000045","East Dunbartonshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",7.9
"S12000010","East Lothian","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",8.45
"S12000011","East Renfrewshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",5.925
"S12000014","Falkirk","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",7.325
"S12000047","Fife","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",9
"S12000049","Glasgow City","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",10.15
"S12000017","Highland","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",-2.125
"S12000018","Inverclyde","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",2.9
"S12000019","Midlothian","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",3.125
"S12000020","Moray","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",13.175
"S12000013","Na h-Eileanan Siar","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",3.025
"S12000021","North Ayrshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",10.075
"S12000050","North Lanarkshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",6.125
"S12000023","Orkney Islands","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",8.95
"S12000048","Perth and Kinross","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",7.1
"S12000038","Renfrewshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",6.6
"S12000026","Scottish Borders","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",10.475
"S12000027","Shetland Islands","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",7.35
"S12000028","South Ayrshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",3.825
"S12000029","South Lanarkshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",3.475
"S12000030","Stirling","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",4.675
"S12000039","West Dunbartonshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",2.6
"S12000040","West Lothian","Council Area","2018","Percentage Points","Percentage Points Difference","16-64 years",11.025
"S12000033","Aberdeen City","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",8.05
"S12000034","Aberdeenshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",8.25
"S12000041","Angus","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",3.625
"S12000035","Argyll and Bute","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",5.575
"S12000036","City of Edinburgh","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",11.35
"S12000005","Clackmannanshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",9.35
"S12000006","Dumfries and Galloway","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",6.825
"S12000042","Dundee City","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",2.7
"S12000008","East Ayrshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",6.15
"S12000045","East Dunbartonshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",3.925
"S12000010","East Lothian","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",10.2
"S12000011","East Renfrewshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",4.45
"S12000014","Falkirk","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",6.625
"S12000047","Fife","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",9.825
"S12000049","Glasgow City","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",3.35
"S12000017","Highland","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",2.85
"S12000018","Inverclyde","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",0.1
"S12000019","Midlothian","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",5.375
"S12000020","Moray","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",16.5
"S12000013","Na h-Eileanan Siar","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",-0.375
"S12000021","North Ayrshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",9.375
"S12000050","North Lanarkshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",3.425
"S12000023","Orkney Islands","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",13.9
"S12000048","Perth and Kinross","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",7.5
"S12000038","Renfrewshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",6.4
"S12000026","Scottish Borders","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",8.775
"S12000027","Shetland Islands","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",8.475
"S12000028","South Ayrshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",3.425
"S12000029","South Lanarkshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",4.35
"S12000030","Stirling","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",1.525
"S12000039","West Dunbartonshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",1.75
"S12000040","West Lothian","Council Area","2019","Percentage Points","Percentage Points Difference","16-64 years",9.175
"S12000033","Aberdeen City","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",7.5
"S12000034","Aberdeenshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",8.3
"S12000041","Angus","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",7.4
"S12000035","Argyll and Bute","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",5.2
"S12000036","City of Edinburgh","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",8.3
"S12000005","Clackmannanshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",-1.6
"S12000006","Dumfries and Galloway","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",8.9
"S12000042","Dundee City","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",2.2
"S12000008","East Ayrshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",5.7
"S12000045","East Dunbartonshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",3.7
"S12000010","East Lothian","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",11.1
"S12000011","East Renfrewshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",6.7
"S12000014","Falkirk","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",5.7
"S12000047","Fife","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",9.6
"S12000049","Glasgow City","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",4.2
"S12000017","Highland","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",8.1
"S12000018","Inverclyde","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",1.8
"S12000019","Midlothian","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",3.6
"S12000020","Moray","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",11.9
"S12000013","Na h-Eileanan Siar","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",-3
"S12000021","North Ayrshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",12.6
"S12000050","North Lanarkshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",3.8
"S12000023","Orkney Islands","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",9.2
"S12000048","Perth and Kinross","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",10.7
"S12000038","Renfrewshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",4.7
"S12000026","Scottish Borders","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",7.6
"S12000027","Shetland Islands","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",9.3
"S12000028","South Ayrshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",8.1
"S12000029","South Lanarkshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",6.8
"S12000030","Stirling","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",2.6
"S12000039","West Dunbartonshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",1.3
"S12000040","West Lothian","Council Area","2020","Percentage Points","Percentage Points Difference","16-64 years",5.2
"S12000033","Aberdeen City","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",4.7
"S12000034","Aberdeenshire","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",15.775
"S12000041","Angus","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",9.95
"S12000035","Argyll and Bute","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",10.15
"S12000036","City of Edinburgh","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",10.1
"S12000005","Clackmannanshire","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",19.625
"S12000006","Dumfries and Galloway","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",3.075
"S12000042","Dundee City","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",10.975
"S12000008","East Ayrshire","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",6.2
"S12000045","East Dunbartonshire","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",6.8
"S12000010","East Lothian","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",10.475
"S12000011","East Renfrewshire","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",8.2
"S12000014","Falkirk","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",8.975
"S12000047","Fife","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",9.45
"S12000049","Glasgow City","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",7.925
"S12000017","Highland","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",13.575
"S12000018","Inverclyde","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",4.625
"S12000019","Midlothian","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",6.85
"S12000020","Moray","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",13.825
"S12000013","Na h-Eileanan Siar","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",-3.4
"S12000021","North Ayrshire","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",12.525
"S12000050","North Lanarkshire","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",5.875
"S12000023","Orkney Islands","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",8.225
"S12000048","Perth and Kinross","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",4.15
"S12000038","Renfrewshire","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",0.075
"S12000026","Scottish Borders","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",8.125
"S12000027","Shetland Islands","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",14.15
"S12000028","South Ayrshire","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",10.5
"S12000029","South Lanarkshire","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",10.1
"S12000030","Stirling","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",9.425
"S12000039","West Dunbartonshire","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",5.125
"S12000040","West Lothian","Council Area","2015","Percentage Points","Percentage Points Difference","25-49 years",7.15
"S12000033","Aberdeen City","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",3.475
"S12000034","Aberdeenshire","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",15.125
"S12000041","Angus","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",10.925
"S12000035","Argyll and Bute","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",8.825
"S12000036","City of Edinburgh","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",15.65
"S12000005","Clackmannanshire","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",15.6
"S12000006","Dumfries and Galloway","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",7.125
"S12000042","Dundee City","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",-2.7
"S12000008","East Ayrshire","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",9.35
"S12000045","East Dunbartonshire","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",7.875
"S12000010","East Lothian","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",12.475
"S12000011","East Renfrewshire","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",7.15
"S12000014","Falkirk","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",12.575
"S12000047","Fife","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",8.725
"S12000049","Glasgow City","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",6.25
"S12000017","Highland","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",5.675
"S12000018","Inverclyde","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",-2.875
"S12000019","Midlothian","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",11.3
"S12000020","Moray","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",13.35
"S12000013","Na h-Eileanan Siar","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",8.775
"S12000021","North Ayrshire","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",8.325
"S12000050","North Lanarkshire","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",5.975
"S12000023","Orkney Islands","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",-5.925
"S12000048","Perth and Kinross","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",2.725
"S12000038","Renfrewshire","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",6
"S12000026","Scottish Borders","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",13.75
"S12000027","Shetland Islands","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",10.625
"S12000028","South Ayrshire","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",9.225
"S12000029","South Lanarkshire","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",11.5
"S12000030","Stirling","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",2.325
"S12000039","West Dunbartonshire","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",9.225
"S12000040","West Lothian","Council Area","2016","Percentage Points","Percentage Points Difference","25-49 years",7.7
"S12000033","Aberdeen City","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",9.125
"S12000034","Aberdeenshire","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",11.35
"S12000041","Angus","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",12.325
"S12000035","Argyll and Bute","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",11.075
"S12000036","City of Edinburgh","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",11.65
"S12000005","Clackmannanshire","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",8.625
"S12000006","Dumfries and Galloway","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",12.075
"S12000042","Dundee City","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",-2.2
"S12000008","East Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",10.05
"S12000045","East Dunbartonshire","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",9.975
"S12000010","East Lothian","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",5.15
"S12000011","East Renfrewshire","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",14.35
"S12000014","Falkirk","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",12.2
"S12000047","Fife","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",12.5
"S12000049","Glasgow City","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",7.825
"S12000017","Highland","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",5.675
"S12000018","Inverclyde","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",10.225
"S12000019","Midlothian","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",6.55
"S12000020","Moray","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",7.025
"S12000013","Na h-Eileanan Siar","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",3.675
"S12000021","North Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",7.7
"S12000050","North Lanarkshire","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",10.375
"S12000023","Orkney Islands","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",-7.825
"S12000048","Perth and Kinross","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",3.2
"S12000038","Renfrewshire","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",2.575
"S12000026","Scottish Borders","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",12.475
"S12000027","Shetland Islands","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",-9.5
"S12000028","South Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",13.4
"S12000029","South Lanarkshire","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",9.225
"S12000030","Stirling","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",6.625
"S12000039","West Dunbartonshire","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",7.625
"S12000040","West Lothian","Council Area","2017","Percentage Points","Percentage Points Difference","25-49 years",11.525
"S12000033","Aberdeen City","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",5.975
"S12000034","Aberdeenshire","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",7.875
"S12000041","Angus","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",11.9
"S12000035","Argyll and Bute","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",10.625
"S12000036","City of Edinburgh","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",14.45
"S12000005","Clackmannanshire","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",12.25
"S12000006","Dumfries and Galloway","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",8.8
"S12000042","Dundee City","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",4
"S12000008","East Ayrshire","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",7.925
"S12000045","East Dunbartonshire","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",8.825
"S12000010","East Lothian","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",6.675
"S12000011","East Renfrewshire","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",7.5
"S12000014","Falkirk","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",6.85
"S12000047","Fife","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",11.075
"S12000049","Glasgow City","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",11.175
"S12000017","Highland","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",-6.625
"S12000018","Inverclyde","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",10.2
"S12000019","Midlothian","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",6
"S12000020","Moray","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",11.775
"S12000013","Na h-Eileanan Siar","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",7.025
"S12000021","North Ayrshire","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",7.4
"S12000050","North Lanarkshire","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",9.125
"S12000023","Orkney Islands","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",-4.175
"S12000048","Perth and Kinross","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",6.7
"S12000038","Renfrewshire","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",7.2
"S12000026","Scottish Borders","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",13.375
"S12000027","Shetland Islands","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",0.0500000000000002
"S12000028","South Ayrshire","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",5.375
"S12000029","South Lanarkshire","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",3.35
"S12000030","Stirling","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",5.475
"S12000039","West Dunbartonshire","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",5.275
"S12000040","West Lothian","Council Area","2018","Percentage Points","Percentage Points Difference","25-49 years",16.175
"S12000033","Aberdeen City","Council Area","2019","Percentage Points","Percentage Points Difference","25-49 years",7.175
